chrom,start,end,snps,1.2,1.3,1.4,2.3,2.4,3.4
2L,110001,115000,351,0.00762779,-0.0062437,-0.00795995,0.000649499,0.0287075,0.00162592
2L,115001,120000,332,0.0161919,-0.00622246,-0.0104853,-0.000198915,0.0274673,-0.00115563
2L,120001,125000,387,0.021482,-0.00448867,-0.00436563,-0.00240371,0.0288193,0.00319083
2L,125001,130000,361,0.00933048,-0.00722106,-0.00811311,0.00145664,0.0328018,0.000878348
2L,130001,135000,406,-0.00251744,-0.00701138,-0.00499585,-0.00489119,0.020182,0.00256347
2L,135001,140000,364,0.01729,-0.000994051,-0.0100313,-0.00474589,0.0235423,7.40105e-05
2L,140001,145000,384,0.0137214,-0.00681534,-0.00720474,0.00288938,0.0419317,0.00282418
2L,145001,150000,396,0.0104202,-0.00530569,-0.00719003,0.00391715,0.0332581,0.0036583
2L,150001,155000,384,-0.00226863,-0.00835122,-0.00588201,-0.0060791,0.0227879,0.00417497
2L,155001,160000,396,0.0152893,-0.00347018,-0.0098452,0.000152366,0.0331933,0.00234954
2L,160001,165000,390,0.0105597,-0.00832018,-0.0104489,0.00951862,0.0240476,-0.00413117
2L,165001,170000,354,0.00727493,-0.00767714,-0.00832603,-0.00495228,0.0274775,0.00488121
2L,170001,175000,356,0.00842769,-0.00730567,-0.00798318,0.00830815,0.0300241,-0.0016822
2L,175001,180000,320,0.0103984,-0.000693539,-0.0080427,-0.00507928,0.0265227,0.006978
2L,180001,185000,376,0.00232749,-0.00240452,-0.00820754,-0.00961736,0.0127207,0.00351293
2L,185001,190000,375,-0.00194264,-0.0109497,-0.011378,-0.0092042,0.00290484,-0.00920014
2L,190001,195000,374,0.0254492,-0.000964767,-0.00975911,0.00225301,0.0390068,0.0100779
2L,195001,200000,337,0.010784,-0.00716075,-0.0125878,-0.00614169,0.0134331,-0.00563483
2L,200001,205000,353,0.00682881,-0.0115974,-0.00881912,0.000117157,0.0180334,-0.00724124
2L,205001,210000,367,0.00919925,-0.00163234,-0.00675891,-0.0031662,0.0215121,-0.00196409
2L,210001,215000,401,0.0110948,-0.0079027,-0.00940727,0.00253142,0.0198221,-0.00719579
2L,215001,220000,373,0.00813868,-0.00763117,-0.0106057,-0.00678663,0.023976,2.61879e-05
2L,220001,225000,373,0.0230671,-0.00396833,-0.00994146,0.000515705,0.0416507,0.00943555
2L,225001,230000,324,0.00557164,0.00529476,-0.00708569,-0.000624487,0.0189155,0.0105274
2L,230001,235000,363,0.00543856,-0.00971712,-0.0041714,0.000544963,0.0291122,-0.00451319
2L,235001,240000,369,0.016874,-0.00775446,-0.0110147,-0.00112491,0.0313379,-0.00297529
2L,240001,245000,347,0.0199873,-0.00516093,-0.00727332,-0.00469676,0.0338437,0.00196852
2L,245001,250000,380,0.0027333,-0.00825114,-0.00820748,-0.0065127,0.0228843,-0.00085455
2L,250001,255000,407,-0.00389044,-0.00432419,-0.00757946,-0.000588879,0.0103268,-0.00410521
2L,255001,260000,389,0.030107,-0.00188833,-0.00749178,0.0113882,0.0420406,0.005365
2L,260001,265000,420,0.0041419,0.012607,-0.00976726,0.00485393,0.0127002,0.0143973
2L,265001,270000,389,0.0153718,-0.00754539,-0.00915271,0.00559157,0.0274927,-0.00359787
2L,270001,275000,412,0.00902942,0.000857333,-0.00596302,0.0175152,0.0251878,0.00396464
2L,275001,280000,418,-0.0100522,0.00268498,-0.00994956,-0.0028693,-0.010179,0.00473507
2L,280001,285000,403,-0.00151507,0.00135344,-0.011156,-0.00697182,-0.00100161,-0.00243959
2L,285001,290000,408,-0.00469863,-0.00680806,-0.00832852,0.000401229,0.0101403,-0.000742958
2L,290001,295000,397,-0.00495676,-0.000763139,-0.000951049,0.00273395,0.0232609,0.00519219
2L,295001,300000,401,0.00135169,-0.00173054,-0.00588044,0.00516414,0.0216888,0.00286061
2L,300001,305000,366,0.0158271,-0.00685852,-0.00958407,0.011217,0.0246833,-0.00312155
2L,305001,310000,402,0.00753728,-0.00251113,-0.00889169,0.00048059,0.0192407,-0.00240587
2L,310001,315000,390,0.0144208,-0.00472897,-0.00565311,-0.000227031,0.046974,0.0137986
2L,315001,320000,390,0.00670278,-0.00154317,-0.00404065,-0.000837255,0.0300256,0.00960246
2L,320001,325000,373,0.0135093,0.00167779,-0.011598,-0.0017536,0.025352,0.0104526
2L,325001,330000,395,0.00525289,-0.00832981,-0.00448354,-0.000562388,0.0345345,0.00101033
2L,330001,335000,407,0.0201623,-0.00392069,-0.00580787,0.0155581,0.0511693,0.00246911
2L,335001,340000,418,0.00103805,0.0070984,-0.00837694,-0.00536564,0.00781501,0.00695922
2L,340001,345000,400,0.0129104,-0.0057737,-0.00285798,0.00242345,0.0446625,0.00636034
2L,345001,350000,187,0.0124803,-0.00635205,-0.00331893,0.00217963,0.0436372,0.0062544
2L,350001,355000,0,nan,nan,nan,nan,nan,nan
2L,355001,360000,269,0.0174234,-0.0027963,-0.0095263,-0.00678307,0.0261784,0.00337321
2L,360001,365000,0,nan,nan,nan,nan,nan,nan
2L,365001,370000,314,0.0309366,0.00121578,-0.0107067,-0.00568037,0.0502463,0.0121003
2L,370001,375000,399,0.01585,-0.00859915,-0.00724328,0.0064706,0.0388289,0.00476346
2L,375001,380000,399,0.00969468,-0.00643081,-0.0113583,-8.93712e-05,0.0187836,-0.00495093
2L,380001,385000,423,-0.0068381,-0.00489305,-0.00966597,-0.00141497,-0.0034105,-0.00408628
2L,385001,390000,412,0.0126998,-0.000520492,-0.00920104,0.00424945,0.0238787,0.00489757
2L,390001,395000,372,0.0119887,-0.00578241,-0.00748215,0.013712,0.031083,-0.00306777
2L,395001,400000,441,0.0137925,-0.00754574,-0.00981705,-0.000148408,0.0283909,-0.000237539
2L,400001,405000,415,0.00832676,-0.00485172,-0.00846834,0.00539999,0.0264679,-0.00224802
2L,405001,410000,372,0.00990408,-0.00172709,-0.00772913,0.000751758,0.0293487,0.00394139
2L,410001,415000,370,0.00671057,-5.7266e-05,-0.00748485,-0.00260082,0.0123119,-0.0013975
2L,415001,420000,399,0.010915,-0.00443325,-0.00940102,0.010653,0.0291507,-0.00125798
2L,420001,425000,360,0.0183411,-0.00676597,-0.00784332,0.00400042,0.0431807,0.0042608
2L,425001,430000,437,0.0106146,-0.00309167,-0.00775265,-0.00260122,0.0268921,0.00274645
2L,430001,435000,422,0.00678063,0.00610504,-0.0089141,0.00240259,0.0188732,0.00685669
2L,435001,440000,413,0.0147846,0.00142629,-0.00671139,0.0121322,0.0389431,0.00736866
2L,440001,445000,428,0.00716158,-0.00729752,-0.0100836,0.00112145,0.0243164,-0.000367083
2L,445001,450000,424,-0.00163856,0.000750331,-0.00502391,-0.00420259,0.0143823,0.00184175
2L,450001,455000,279,-0.0026996,-0.00638718,-0.0023902,-0.00246405,0.0114262,-0.00629984
2L,455001,460000,374,0.0325972,-0.00232534,-0.0113014,0.0104058,0.039001,-0.00192714
2L,460001,465000,398,-0.000341543,-0.0082632,-0.00871893,-0.00152819,0.0074998,-0.00440889
2L,465001,470000,416,0.00682526,-0.0093365,-0.00604191,0.0048113,0.0350204,-0.00161397
2L,470001,475000,354,0.00499295,-0.0103155,-0.0109296,0.00624118,0.0180267,-0.0079475
2L,475001,480000,430,0.0187467,-0.00116571,-0.00975191,0.00598947,0.0315664,-0.00264884
2L,480001,485000,396,0.00729825,0.00253462,-0.00838415,-0.000900544,0.0272586,0.00808756
2L,485001,490000,442,0.0199711,-0.00204906,-0.00684191,0.00343653,0.0403783,0.00614313
2L,490001,495000,446,0.0173257,-0.00348159,-0.00629643,0.0118881,0.0404928,-0.00131542
2L,495001,500000,414,0.00756853,-0.00451093,-0.00352706,-0.00190216,0.0413246,0.0118833
2L,500001,505000,432,0.00427665,-0.00796697,-0.00708848,-0.00288473,0.0283843,0.00324348
2L,505001,510000,436,0.00744298,-0.00247607,-0.00469869,0.000478561,0.0319707,0.0047947
2L,510001,515000,428,0.00606369,-0.00357625,-0.00702877,-0.00165121,0.0234506,0.0051241
2L,515001,520000,453,0.0230033,-0.00235534,-0.00882176,0.00475623,0.0335616,0.00814925
2L,520001,525000,421,0.0148225,-0.00324783,-0.00975179,0.00120982,0.032276,0.00454357
2L,525001,530000,418,0.000810627,-0.0107046,-0.0100464,-0.00165698,0.0132389,-0.00815388
2L,530001,535000,405,0.0146609,-0.00856204,-0.00851674,0.0123832,0.0257332,-0.00654537
2L,535001,540000,465,0.00752904,-0.00655073,-0.00586721,0.00794983,0.022047,-0.00463474
2L,540001,545000,441,0.00910583,-0.00620182,-0.00628152,0.000661975,0.0272804,-0.0013683
2L,545001,550000,456,0.0127374,-0.00528867,-0.00735122,0.00373625,0.0173232,0.00260884
2L,550001,555000,494,0.0115412,-0.00433205,-0.00551913,0.0113887,0.0192169,-0.00688819
2L,555001,560000,450,0.00393786,-0.00742281,-0.00249068,0.0138991,0.0279539,-0.00539845
2L,560001,565000,466,0.011596,-0.00209686,-0.00815558,0.0132323,0.023838,-7.10969e-05
2L,565001,570000,477,-0.000263795,0.00101675,-0.00928976,0.00356962,0.00835883,0.00249918
2L,570001,575000,459,0.00615925,-0.00603839,-0.00699271,0.00883827,0.0242135,-0.00700284
2L,575001,580000,392,0.0115091,-0.00480696,-0.00584898,0.0115541,0.034376,-0.000836974
2L,580001,585000,435,-0.00313651,-0.00518167,-0.0054881,0.00769117,0.015954,-0.0048497
2L,585001,590000,421,0.00676205,-0.00784704,-0.00990165,0.00127598,0.0148963,-0.00630786
2L,590001,595000,361,0.00430303,-0.00685642,-0.00704697,0.0125781,0.0270799,-0.00375929
2L,595001,600000,406,0.00511901,-0.00606717,-0.00683502,0.0150287,0.0272134,-0.00504844
2L,600001,605000,429,0.0090718,-0.000176997,-0.00151589,0.00842083,0.0214095,-0.00203555
2L,605001,610000,420,0.0253997,-0.0069366,-0.00701325,0.00706614,0.0239292,-0.00201938
2L,610001,615000,399,0.0115975,-0.00425123,-0.00973437,0.00957539,0.0145331,-0.0058511
2L,615001,620000,410,-0.000159423,-0.00111986,-0.00489297,0.0173464,0.0204214,-0.000610747
2L,620001,625000,445,0.0121598,-0.00839975,-0.00916255,0.00866232,0.0247627,-0.00325821
2L,625001,630000,317,0.00356669,0.00181622,-0.00713059,0.0200385,0.0218856,-0.0027935
2L,630001,635000,386,0.00667877,-0.0026497,-0.00290157,0.0147527,0.0247554,-0.00698329
2L,635001,640000,420,0.00970705,9.13209e-05,-0.0102104,0.0168395,0.0192574,0.00698629
2L,640001,645000,451,0.00296261,-0.00285134,-0.00714289,0.0044679,0.0181292,-0.00258185
2L,645001,650000,446,-0.00371524,-0.00354588,0.00134186,0.00229449,0.022162,0.00201319
2L,650001,655000,385,0.00986395,-0.0056106,-0.00756236,0.00213485,0.0323989,0.00436602
2L,655001,660000,395,-0.000938364,-0.00450888,-0.00394318,0.00842787,0.0205313,-0.00643247
2L,660001,665000,399,0.0130115,-0.00676761,-0.005491,0.0126808,0.0401992,-0.00235561
2L,665001,670000,398,0.00735405,-0.00531004,-0.00791859,0.0165944,0.0259928,-0.00545812
2L,670001,675000,424,0.0100783,-0.0103504,-0.00702922,0.00718949,0.0348776,-0.00115447
2L,675001,680000,394,0.00224561,-0.00779952,-0.00836886,0.010965,0.0218673,-0.00335024
2L,680001,685000,391,0.0091243,-0.00923381,-0.00926817,0.00687351,0.0286458,-0.00408422
2L,685001,690000,146,0.000289717,-0.0112241,-0.00984123,-0.000395368,0.00992623,-0.00433459
2L,690001,695000,0,nan,nan,nan,nan,nan,nan
2L,695001,700000,332,0.0031602,-0.00164652,-0.00844687,0.0112698,0.0181815,-0.00355351
2L,700001,705000,372,0.00796088,-0.00674486,-0.00468141,0.000745998,0.0217934,-0.00613433
2L,705001,710000,407,0.020222,-0.0050707,-0.0105644,0.00548981,0.0321872,0.00165578
2L,710001,715000,379,0.00983412,-0.00969212,-0.00807132,0.00415398,0.0314064,-0.00301882
2L,715001,720000,453,0.00894248,-0.00913989,-0.0101015,0.00307272,0.0168128,-0.00419374
2L,720001,725000,356,0.0111319,-0.00954966,-0.00951379,0.00603284,0.0178678,-0.00833926
2L,725001,730000,420,0.0093228,-0.00378347,-0.00823662,0.01217,0.0247277,-0.00467228
2L,730001,735000,421,0.00136688,-0.00729821,-0.00736976,0.00382421,0.0211786,-0.004133
2L,735001,740000,394,0.00572306,0.00373634,-0.00634409,0.00699372,0.0207109,0.00712011
2L,740001,745000,465,0.00880535,-0.00285525,-0.0119215,0.00756295,0.020341,0.00182152
2L,745001,750000,405,0.0116243,-0.00973184,-0.00736621,0.000831631,0.0321355,-0.000986394
2L,750001,755000,406,0.013683,-0.00398606,-0.00696249,0.0184023,0.0295609,-0.0010146
2L,755001,760000,427,0.0123733,-0.00786227,-0.00517045,0.0116306,0.0424575,-0.00160648
2L,760001,765000,426,0.0078167,-0.00772536,-0.007225,0.00763548,0.025929,-0.00542429
2L,765001,770000,400,0.00481985,-0.00803671,0.00376297,-0.00272354,0.0346333,0.0135936
2L,770001,775000,301,0.0135233,-0.00845056,-0.00861259,0.00693751,0.027037,-0.00850946
2L,775001,780000,432,0.0151557,0.012924,0.000292309,0.00665201,0.0209187,-0.00286003
2L,780001,785000,284,0.0177403,-0.00810275,-0.00986874,0.0225498,0.0344196,-0.00869348
2L,785001,790000,483,0.00595776,-0.00527688,-0.00560806,0.0131657,0.0304441,-0.00463988
2L,790001,795000,417,0.00410316,-0.00449316,-0.00718092,0.0116544,0.0177833,-0.00403044
2L,795001,800000,408,0.00476635,-0.0063854,-0.00787101,0.00249211,0.0263379,0.00151717
2L,800001,805000,416,0.0185454,-0.0086293,-0.0100145,0.00822743,0.0227694,-0.00925981
2L,805001,810000,416,0.00444534,-0.00250499,-0.00828222,0.00726974,0.019622,-0.00180968
2L,810001,815000,429,0.0126423,-0.00727173,-0.00674045,0.0151136,0.04042,-0.000391923
2L,815001,820000,446,0.0183525,-0.00577861,-0.00852722,0.00523336,0.0333874,-0.00381991
2L,820001,825000,419,0.0140256,-0.00821173,-0.00924488,0.00842761,0.0249674,-0.00253073
2L,825001,830000,379,0.00938983,-0.00281484,-0.00582131,0.00443565,0.0232883,0.000285269
2L,830001,835000,462,0.00925801,-0.0052434,-0.0105416,0.0129816,0.0183859,-0.00475085
2L,835001,840000,428,0.0106503,-0.000346143,-0.00919113,0.0264109,0.0203704,-0.00654405
2L,840001,845000,441,0.0198192,0.00197951,-0.00844291,0.00689148,0.0186013,-0.0057041
2L,845001,850000,431,0.0147956,-0.00402791,-0.0102187,0.0110734,0.0219723,-0.00424476
2L,850001,855000,495,0.0183274,-0.000356415,-0.0106548,0.0106464,0.0222767,-0.00158333
2L,855001,860000,447,0.0187329,-0.00757663,-0.0119714,0.00273338,0.0245787,-0.00363623
2L,860001,865000,504,0.00790995,-0.00312096,-0.0092227,0.00901899,0.0193873,-0.000618688
2L,865001,870000,438,0.0140242,-0.00992226,-0.00445649,0.0133632,0.0439951,-0.00570872
2L,870001,875000,383,0.0218304,-0.00729641,-0.00885371,0.00352375,0.0335487,-0.00247651
2L,875001,880000,482,0.019182,-0.00829171,-0.00990183,0.00970209,0.0304747,-0.00496598
2L,880001,885000,522,0.0210234,-0.00499232,-0.00827118,0.0152762,0.0392792,-0.00104156
2L,885001,890000,435,0.0046494,0.00126579,0.00279446,0.0127734,0.01887,0.0043598
2L,890001,895000,441,0.0171693,-0.000946205,-0.00908031,0.00212867,0.035554,0.00881036
2L,895001,900000,400,0.0107801,-0.00270033,-0.0109221,0.0143496,0.0191698,-0.00681728
2L,900001,905000,426,0.014214,-0.00388845,-0.00974162,0.0130063,0.0287956,-0.00209752
2L,905001,910000,460,0.0158197,-0.00059855,-0.0112333,0.0138371,0.0216094,-0.000970456
2L,910001,915000,488,0.0191915,-0.0010914,-0.00482019,0.0162443,0.0324271,-0.00175833
2L,915001,920000,468,0.0139848,-0.00377686,-0.00878486,0.00965709,0.0232875,-0.00489737
2L,920001,925000,445,0.0121527,-0.00181701,-0.00975958,0.00837938,0.0224615,-0.00101183
2L,925001,930000,433,0.00837049,-0.00764683,-0.00787882,0.00876254,0.0261748,-0.00534014
2L,930001,935000,455,0.02351,0.00194784,-0.00721064,0.0152646,0.0375085,0.00587559
2L,935001,940000,472,0.0134406,-0.00360644,-0.00812533,0.0168503,0.0270609,-0.00280757
2L,940001,945000,405,0.0179672,-0.00608529,-0.0096302,0.010629,0.0263828,-0.00560307
2L,945001,950000,415,0.0163851,-0.000904564,-0.00816917,0.00914442,0.0259503,-0.00110202
2L,950001,955000,430,0.0127195,-0.00552499,-0.00668073,0.00603292,0.0260052,-0.00589856
2L,955001,960000,391,0.0154395,0.00209125,-0.0112256,0.00562338,0.019619,0.00288755
2L,960001,965000,467,0.0268931,-0.00464028,-0.00926499,0.0131664,0.0308514,-0.00637537
2L,965001,970000,466,0.0214067,-0.00772501,-0.0106888,0.0118612,0.0203178,-0.00897297
2L,970001,975000,471,0.0124622,-0.00477734,-0.00876572,0.00240199,0.0276572,0.000739253
2L,975001,980000,160,0.00731309,-0.00381742,-0.0104411,0.0223205,0.0163632,-0.00148869
2L,980001,985000,31,0.0286734,-0.00121829,-0.0100749,0.0336453,0.0522723,-0.00178758
2L,985001,990000,486,0.0182777,-0.00359222,-0.00801151,0.0140761,0.0341801,-0.0018651
2L,990001,995000,419,0.0251882,-0.00135852,-0.0102576,0.0188707,0.0307887,-0.00136367
2L,995001,1000000,167,0.00864732,-0.00315763,-0.00430923,0.0111844,0.0345148,0.00688393
2L,1000001,1005000,0,nan,nan,nan,nan,nan,nan
2L,1005001,1010000,368,0.0199735,-0.00165437,-0.0108482,0.0159058,0.0307471,-0.00206212
2L,1010001,1015000,355,0.0161583,-0.00267787,-0.00873695,0.00922006,0.030434,0.000249983
2L,1015001,1020000,500,0.0132652,-0.00149495,-0.00844332,0.0150435,0.0319811,-0.000472123
2L,1020001,1025000,454,0.0169423,-0.00212203,-0.00840454,0.0078214,0.0346534,0.00237128
2L,1025001,1030000,464,0.0195414,0.00519955,-0.0105309,0.00421687,0.0235962,0.00391871
2L,1030001,1035000,493,0.00975671,-0.00549565,-0.00137134,0.00737506,0.0402606,0.000118191
2L,1035001,1040000,459,0.0116349,-0.00681099,-0.00860174,0.00674052,0.0284989,-0.00293698
2L,1040001,1045000,443,0.0123953,0.00708638,-0.00546942,0.00933033,0.0222105,-0.000291879
2L,1045001,1050000,451,0.014445,0.00147864,-0.00654586,0.00765,0.0286193,0.00186586
2L,1050001,1055000,424,0.0135079,-0.000118592,-0.0104108,0.00979583,0.0239634,0.00158152
2L,1055001,1060000,460,0.0123817,-0.00319297,-0.010254,0.00665219,0.0201043,-0.00382208
2L,1060001,1065000,470,0.00617402,0.00161273,-0.00775115,0.0121952,0.0220646,0.00151435
2L,1065001,1070000,447,0.00681133,-0.00629915,-0.0077226,-0.00188509,0.0225787,-0.000612679
2L,1070001,1075000,389,0.00980296,-0.0101611,-0.00924826,0.0069097,0.0207844,-0.00581116
2L,1075001,1080000,443,0.0141499,-0.00412068,-0.00790053,0.000275374,0.0236824,-0.00301135
2L,1080001,1085000,426,0.00971326,-0.00994946,-0.00578989,0.00735938,0.030612,-0.00563215
2L,1085001,1090000,468,0.0113176,-0.00627137,-0.00711002,0.00702399,0.0247147,-0.00166727
2L,1090001,1095000,490,0.0234211,-0.00345203,-0.00741194,0.00797553,0.0286134,-0.00666599
2L,1095001,1100000,460,0.0181408,-0.00280899,-0.00886009,0.00380325,0.0351833,0.00526447
2L,1100001,1105000,457,0.0160107,-0.000883115,-0.00481866,0.00422686,0.0256345,-0.000505194
2L,1105001,1110000,456,0.0104419,-0.00563503,-0.00930145,0.00704218,0.0218576,-0.0041247
2L,1110001,1115000,459,0.00580533,-0.00464876,-0.00809017,0.00519078,0.0225997,-0.00102548
2L,1115001,1120000,443,0.0155723,-0.00927806,-0.0109204,0.00780926,0.0250304,-0.0073159
2L,1120001,1125000,392,0.0143829,-0.00487338,-0.00908863,0.00758351,0.0287023,0.00310002
2L,1125001,1130000,462,0.0240954,-0.00266667,-0.00974153,0.0138971,0.027171,-0.00329935
2L,1130001,1135000,447,0.0155472,-0.00848393,-0.00909196,0.0137393,0.0323275,-0.00262195
2L,1135001,1140000,465,0.0253337,-0.00634069,-0.00952729,0.0155042,0.0368914,-0.00469518
2L,1140001,1145000,382,0.01079,-0.0053481,-0.010364,0.00831811,0.0190678,-0.00302887
2L,1145001,1150000,512,0.0201065,0.00477792,-0.010741,0.0119919,0.0257021,0.0069626
2L,1150001,1155000,473,0.0114148,-0.00587219,-0.00991296,0.00596115,0.0205665,-0.00418587
2L,1155001,1160000,456,0.0161881,-0.00186697,-0.00998841,0.00653811,0.0191776,-0.00335656
2L,1160001,1165000,463,0.0202525,-0.00729295,-0.00810099,0.00226923,0.0391653,0.000878672
2L,1165001,1170000,415,0.00537035,-0.00580166,-0.00361007,-0.00028911,0.026384,0.00167433
2L,1170001,1175000,474,0.0322781,0.0109963,-0.0116518,0.00341629,0.0368999,0.010921
2L,1175001,1180000,430,0.0156667,-0.00409568,-0.00910589,0.0029361,0.0252485,-0.00132945
2L,1180001,1185000,482,0.0270861,-0.00479822,-0.00862301,0.00610991,0.0340069,-0.0032876
2L,1185001,1190000,423,0.0193183,-0.0025026,-0.0103088,0.00388247,0.020968,-0.00439159
2L,1190001,1195000,458,0.0106646,-0.00349302,-0.00820573,0.00708179,0.0273868,0.00194661
2L,1195001,1200000,480,0.01279,-0.00678297,-0.00941888,0.00752799,0.0252013,-0.00670862
2L,1200001,1205000,438,0.0247438,-0.00241178,-0.0103449,0.0119941,0.0411425,0.000442737
2L,1205001,1210000,455,0.00962998,-0.00634412,-0.00759816,0.0134722,0.0276639,-0.00413264
2L,1210001,1215000,405,0.0259987,-0.00641578,-0.00655149,0.0066636,0.0371227,-0.00130497
2L,1215001,1220000,434,0.00719008,-0.00580456,-0.00674894,0.00260443,0.021384,-0.00292452
2L,1220001,1225000,6,0.00979632,-0.00803983,-0.0122107,0.0399104,0.0325092,-0.0133476
2L,1225001,1230000,217,0.013886,-0.0101567,-0.010165,0.00165499,0.0296252,-0.0034855
2L,1230001,1235000,414,0.017002,0.0033354,-0.0086214,0.00431291,0.0183004,-0.00106883
2L,1235001,1240000,454,0.014046,-0.00523501,-0.0105207,0.00459994,0.0275534,0.000578976
2L,1240001,1245000,412,0.014084,-0.000498056,-0.0104576,0.00489257,0.0265585,0.00345397
2L,1245001,1250000,406,0.022348,-0.00556398,-0.0112853,0.00561895,0.0308771,-0.00447982
2L,1250001,1255000,452,0.0170633,-0.000714917,-0.00861523,0.00589564,0.0324373,0.00456137
2L,1255001,1260000,435,0.0120585,-0.00484514,-0.00919793,0.00247001,0.0280199,0.00216306
2L,1260001,1265000,449,0.0128009,-0.00118318,-0.00813192,0.00453669,0.0231965,-4.915e-05
2L,1265001,1270000,381,0.0152971,0.0030867,-0.0091242,-0.00443586,0.0299267,0.0117889
2L,1270001,1275000,391,0.0177839,-0.0019593,-0.0119033,0.00415135,0.0220475,0.000681226
2L,1275001,1280000,445,0.0135903,-0.00362183,-0.00942964,0.00181735,0.0209233,-0.000577966
2L,1280001,1285000,433,0.00581239,-0.000530875,-0.00852064,0.0078292,0.0223229,0.0048296
2L,1285001,1290000,451,0.0121432,-0.00753262,-0.00862504,0.00203564,0.0278633,-0.00135168
2L,1290001,1295000,429,0.023318,-0.00276219,-0.0111073,0.0174122,0.0306606,0.00175036
2L,1295001,1300000,412,0.0223154,0.00969062,-0.00432368,-0.00665059,0.0328206,0.0108138
2L,1300001,1305000,356,0.0198037,-0.00649612,-0.0112476,-0.000455414,0.0230152,-0.00734064
2L,1305001,1310000,443,0.00849374,-0.000685882,-0.0107167,0.000933751,0.0169009,-0.00151762
2L,1310001,1315000,319,0.0158814,0.00357751,-0.00974308,0.00903361,0.0248533,0.000484016
2L,1315001,1320000,455,0.0194885,-0.00695585,-0.00771871,0.0160541,0.0317051,-0.0056187
2L,1320001,1325000,408,0.0193804,-0.000563995,-0.00667317,0.00843571,0.0333985,-0.00218243
2L,1325001,1330000,374,0.0103702,-0.00658074,-0.00794448,0.00721873,0.0318342,-0.000664749
2L,1330001,1335000,396,0.0128189,0.00123533,-0.00251171,-0.00462668,0.0349952,0.00949975
2L,1335001,1340000,430,0.018518,-0.0030428,-0.00826234,0.00209282,0.0425206,0.00549901
2L,1340001,1345000,366,0.00880535,-0.00595978,-0.005609,0.00189749,0.0309594,0.00302767
2L,1345001,1350000,408,0.0197618,-0.0015275,-0.0081188,0.0103968,0.0342926,0.00684237
2L,1350001,1355000,433,0.0189315,0.00357436,-0.00925999,-0.00168185,0.0248524,0.00047364
2L,1355001,1360000,401,0.0218827,0.00510187,-0.0102488,-0.0062949,0.0266595,0.00852852
2L,1360001,1365000,420,0.021309,-0.0056991,-0.00917741,0.00141996,0.0298496,-0.00372567
2L,1365001,1370000,426,0.0147133,0.00266858,-0.00701558,-0.00463372,0.0400837,0.0210838
2L,1370001,1375000,409,0.0157968,-0.00224961,-0.0111729,-0.00176644,0.0227152,0.000606106
2L,1375001,1380000,466,0.00933869,-0.000579508,-0.0103563,-0.00134864,0.0189557,0.00108442
2L,1380001,1385000,368,0.025082,-0.00302306,-0.0104716,0.00863438,0.0402155,0.00281064
2L,1385001,1390000,432,0.0231055,-0.00686648,-0.00918256,0.00930369,0.0297955,-0.0016393
2L,1390001,1395000,422,0.0250791,0.000705356,-0.0100706,-0.0019242,0.0443434,0.0148221
